,date,Country_Region,Confirmed,active_cases,active_rolling
693,2020-06-01,India,198370,,
1368,2020-06-02,India,207191,8821.0,
1365,2020-06-03,India,216824,9633.0,
1164,2020-06-04,India,226713,9889.0,
1167,2020-06-05,India,236184,9471.0,
27,2020-06-06,India,246622,10438.0,
24,2020-06-07,India,257486,10864.0,
1251,2020-06-08,India,265928,8442.0,9651.142857142857
1242,2020-06-09,India,276146,10218.0,9850.714285714286
210,2020-06-10,India,276583,437.0,8537.0
213,2020-06-11,India,297535,20952.0,10117.42857142857
960,2020-06-12,India,297535,0.0,8764.42857142857
957,2020-06-13,India,308993,11458.0,8910.142857142857
1545,2020-06-14,India,320922,11929.0,9062.285714285714
1548,2020-06-15,India,343091,22169.0,11023.285714285714
420,2020-06-16,India,354065,10974.0,11131.285714285714
417,2020-06-17,India,366946,12881.0,12909.0
876,2020-06-18,India,380532,13586.0,11856.714285714286
873,2020-06-19,India,395048,14516.0,13930.42857142857
1533,2020-06-20,India,410461,15413.0,14495.42857142857
1536,2020-06-21,India,425282,14821.0,14908.57142857143
639,2020-06-22,India,440215,14933.0,13874.857142857143
636,2020-06-23,India,456183,15968.0,14588.285714285714
390,2020-06-24,India,473105,16922.0,15165.57142857143
393,2020-06-25,India,490401,17296.0,15695.57142857143
936,2020-06-26,India,508953,18552.0,16272.142857142857
933,2020-06-27,India,528859,19906.0,16914.0
480,2020-06-28,India,548318,19459.0,17576.571428571428
471,2020-06-29,India,566840,18522.0,18089.285714285714
1110,2020-06-30,India,585493,18653.0,18472.85714285714
1395,2020-07-01,India,604641,19148.0,18790.85714285714
723,2020-07-02,India,625544,20903.0,19306.14285714286
726,2020-07-03,India,648315,22771.0,19908.85714285714
93,2020-07-04,India,673165,24850.0,20615.14285714286
90,2020-07-05,India,697413,24248.0,21299.285714285714
1221,2020-07-06,India,719664,22251.0,21832.0
1224,2020-07-07,India,742417,22753.0,22417.714285714286
804,2020-07-08,India,767296,24879.0,23236.428571428572
813,2020-07-09,India,793802,26506.0,24036.85714285714
1005,2020-07-10,India,820916,27114.0,24657.285714285714
1002,2020-07-11,India,849522,28606.0,25193.85714285714
255,2020-07-12,India,878254,28732.0,25834.428571428572
258,2020-07-13,India,906752,28498.0,26726.85714285714
498,2020-07-14,India,936181,29429.0,27680.571428571428
495,2020-07-15,India,968857,32676.0,28794.428571428572
1608,2020-07-16,India,1003832,34975.0,30004.285714285714
1611,2020-07-17,India,1039084,35252.0,31166.85714285714
405,2020-07-18,India,1077781,38697.0,32608.428571428572
408,2020-07-19,India,1118206,40425.0,34278.857142857145
564,2020-07-20,India,1155338,37132.0,35512.28571428572
561,2020-07-21,India,1193078,37740.0,36699.57142857143
1452,2020-07-22,India,1238798,45720.0,38563.0
1455,2020-07-23,India,1288108,49310.0,40610.857142857145
891,2020-07-24,India,1337024,48916.0,42562.857142857145
888,2020-07-25,India,1385635,48611.0,43979.142857142855
342,2020-07-26,India,1435616,49981.0,45344.28571428572
345,2020-07-27,India,1480073,44457.0,46390.71428571428
1551,2020-07-28,India,1483156,3083.0,41439.71428571428
1557,2020-07-29,India,1581963,98807.0,49023.57142857143
120,2020-07-30,India,1634746,52783.0,49519.71428571428
117,2020-07-31,India,1695988,61242.0,51280.57142857143
879,2020-08-01,India,1750723,54735.0,52155.42857142857
327,2020-08-02,India,1803695,52972.0,52582.71428571428
324,2020-08-03,India,1855745,52050.0,53667.42857142857
573,2020-08-04,India,1908254,52509.0,60728.28571428572
576,2020-08-05,India,1964536,56282.0,54653.28571428572
1476,2020-08-06,India,2027074,62538.0,56046.857142857145
1473,2020-08-07,India,2088611,61537.0,56089.0
216,2020-08-08,India,2153010,64399.0,57469.57142857143
207,2020-08-09,India,2215074,62064.0,58768.42857142857
1245,2020-08-10,India,2268675,53601.0,58990.0
1248,2020-08-11,India,2329638,60963.0,60197.71428571428
759,2020-08-12,India,2396637,66999.0,61728.71428571428
756,2020-08-13,India,2461190,64553.0,62016.57142857143
126,2020-08-14,India,2525922,64732.0,62473.0
129,2020-08-15,India,2589952,64030.0,62420.28571428572
1077,2020-08-16,India,2647663,57711.0,61798.42857142857
1074,2020-08-17,India,2702681,55018.0,62000.857142857145
690,2020-08-18,India,2767253,64572.0,62516.42857142857
687,2020-08-19,India,2836925,69672.0,62898.28571428572
66,2020-08-20,India,2905825,68900.0,63519.28571428572
